event_id,eventname,short_name,long_name,location,country_code,country_url,longitude,latitude,seriesid,source
1,bushy,Bushy Park,Bushy parkrun,"Bushy Park, Teddington",97,www.parkrun.org.uk,-0.335791,51.410992,1,events_json
2,wimbledon,Wimbledon Common,Wimbledon Common parkrun,Wimbledon Common,97,www.parkrun.org.uk,-0.232215,51.442078,1,events_json
3,banstead,Banstead Woods,Banstead Woods parkrun,"Banstead Woods, Coulsdon",97,www.parkrun.org.uk,-0.184225,51.307648,1,events_json
4,richmond,Richmond Park,Richmond parkrun,"Richmond Park, Richmond upon Thames",97,www.parkrun.org.uk,-0.292886,51.451962,1,events_json
5,woodhousemoor,Woodhouse Moor,Woodhouse Moor parkrun,"Woodhouse Moor, Leeds",97,www.parkrun.org.uk,-1.560059,53.808582,1,events_json
6,bramhall,Bramhall Park,Bramhall parkrun,"Bramhall Park, near Stockport",97,www.parkrun.org.uk,-2.160702,53.374268,1,events_json
8,brighton,Brighton & Hove,Brighton & Hove parkrun,"Hove Park, Brighton",97,www.parkrun.org.uk,-0.172498,50.84214,1,events_json
9,cardiff,Cardiff,Cardiff parkrun,Cardiff Blackweir,97,www.parkrun.org.uk,-3.207107,51.49736,1,events_json
10,albert,Albert,"Albert parkrun, Middlesbrough","Albert Park, Middlesbrough",97,www.parkrun.org.uk,-1.231788,54.564972,1,events_json
11,basingstoke,Basingstoke,Basingstoke parkrun,Basingstoke War Memorial Park,97,www.parkrun.org.uk,-1.082035,51.258831,1,events_json
12,pollok,Pollok,"Pollok parkrun, Glasgow","Pollok Park, Glasgow",97,www.parkrun.org.uk,-4.307882,55.82992,1,events_json
13,amager,Amager Fælled,Amager Fælled parkrun,"Amager Fælled, København",23,www.parkrun.dk,12.575108,55.653057,1,events_json
14,gorleston,Gorleston Cliffs,Gorleston Cliffs parkrun,Gorleston Cliffs Promenade,97,www.parkrun.org.uk,1.73069,52.567806,1,events_json
15,bedfont,Bedfont Lakes,Bedfont Lakes parkrun,Bedfont Lakes Country Park,97,www.parkrun.org.uk,-0.451523,51.440762,1,events_json
18,heaton,Heaton Park,Heaton parkrun,"Heaton Park, Manchester",97,www.parkrun.org.uk,-2.256263,53.531975,1,events_json
19,roundshaw,Roundshaw Downs,Roundshaw Downs parkrun,"Roundshaw Downs, near South Croydon",97,www.parkrun.org.uk,-0.11872,51.352253,1,events_json
20,reading,Reading,Reading parkrun,"Thames Riverside, Reading",97,www.parkrun.org.uk,-0.941573,51.460384,1,events_json
21,woodbank,Woodbank,Woodbank parkrun,"Woodbank Memorial Park, Stockport",97,www.parkrun.org.uk,-2.130945,53.408405,1,events_json
22,blackpark,Black Park,Black Park parkrun,"Black Park Country Park, Slough",97,www.parkrun.org.uk,-0.5476,51.540329,1,events_json
23,silksworth,Silksworth,Silksworth parkrun,"Silksworth Sports Centre, Sunderland",97,www.parkrun.org.uk,-1.409099,54.883911,1,events_json
24,finsbury,Finsbury Park,Finsbury parkrun,Finsbury Park,97,www.parkrun.org.uk,-0.104145,51.569595,1,events_json
25,stpeters,St Peters,St Peters parkrun,"Sydney Park, St Peters, Sydney",3,www.parkrun.com.au,151.18219,-33.907658,1,events_json
26,edinburgh,Edinburgh,Edinburgh parkrun,Edinburgh Promenade,97,www.parkrun.org.uk,-3.291585,55.978806,1,events_json
27,bromley,Bromley,Bromley parkrun,"Norman Park, Bromley",97,www.parkrun.org.uk,0.022874,51.386539,1,events_json
28,southmanchester,South Manchester,South Manchester parkrun,Platt Fields Park,97,www.parkrun.org.uk,-2.224689,53.446072,1,events_json
29,bexley,Bexley,Bexley parkrun,"Danson Park, Bexley",97,www.parkrun.org.uk,0.113254,51.455132,1,events_json
30,wakefieldthornes,Wakefield Thornes,Wakefield Thornes parkrun,Thornes Park,97,www.parkrun.org.uk,-1.509682,53.672488,1,events_json
31,harrow,Harrow,Harrow parkrun,Harrow Recreation Ground,97,www.parkrun.org.uk,-0.342734,51.581781,1,events_json
32,lloyd-juniors,Lloyd juniors,Lloyd junior parkrun,Lloyd Park,97,www.parkrun.org.uk,-0.080886,51.36575,2,events_json
34,hull,Hull,Hull parkrun,"East Park, Hull",97,www.parkrun.org.uk,-0.300708,53.764645,1,events_json
35,hadleigh,Hadleigh,"Hadleigh parkrun, Essex",Hadleigh Country Park,97,www.parkrun.org.uk,0.59606,51.549769,1,events_json
37,moorsvalley-juniors,Moors Valley juniors,Moors Valley junior parkrun,Moors Valley Country Park and Forest,97,www.parkrun.org.uk,-1.849369,50.851371,2,events_json
38,banbury,Banbury,Banbury parkrun,Spiceball park,97,www.parkrun.org.uk,-1.332318,52.068807,1,events_json
39,eastbourne,Eastbourne,Eastbourne parkrun,"Shinewater Park, Eastbourne",97,www.parkrun.org.uk,0.290451,50.806248,1,events_json
40,roukenglen-juniors,Rouken Glen juniors,Rouken Glen junior parkrun,Rouken Glen Park,97,www.parkrun.org.uk,-4.316869,55.79831,2,events_json
41,aberdeen,Aberdeen,Aberdeen parkrun,Aberdeen Beach Esplanade,97,www.parkrun.org.uk,-2.086256,57.173898,1,events_json
42,crossflatts-juniors,Cross Flatts juniors,Cross Flatts junior parkrun,Cross Flatts Park,97,www.parkrun.org.uk,-1.558242,53.776611,2,events_json
43,penallta-juniors,Penallta juniors,Penallta junior parkrun,Parc Penallta Country Park,97,www.parkrun.org.uk,-3.245668,51.644903,2,events_json
44,grovelands,Grovelands,"Grovelands parkrun, Enfield","Grovelands Park, Enfield",97,www.parkrun.org.uk,-0.113769,51.633076,1,events_json
45,lutonwardown,Luton Wardown,Luton Wardown parkrun,Wardown Park,97,www.parkrun.org.uk,-0.420917,51.889853,1,events_json
46,basildon,Basildon,Basildon parkrun,Northlands Park,97,www.parkrun.org.uk,0.499615,51.577778,1,events_json
47,plean,Plean,Plean parkrun,Plean Country Park,97,www.parkrun.org.uk,-3.881607,56.057791,1,events_json
48,kingsway,Kingsway,"Kingsway parkrun, Gloucester",Kingsway Sports Pavillion,97,www.parkrun.org.uk,-2.272804,51.821487,1,events_json
49,frimleylodge,Frimley Lodge,Frimley Lodge parkrun,Frimley Lodge Park,97,www.parkrun.org.uk,-0.724851,51.298622,1,events_json
50,ashtoncourt,Ashton Court,Ashton Court parkrun,"Ashton Court, Bristol",97,www.parkrun.org.uk,-2.639948,51.443592,1,events_json
51,hackneymarshes,Hackney Marshes,Hackney Marshes parkrun,Hackney Marshes,97,www.parkrun.org.uk,-0.025368,51.553686,1,events_json
52,albertmelbourne,Albert Melbourne,"Albert parkrun, Melbourne","Albert Park, Melbourne, Australia",3,www.parkrun.com.au,144.96312,-37.843521,1,events_json
53,averyhill,Avery Hill,Avery Hill parkrun,"Avery Hill Park, Greenwich",97,www.parkrun.org.uk,0.075155,51.449459,1,events_json
