athlete_id,event_id,run_date,run_number,position,time,time_seconds,age_grade,pb_flag,scrape_timestamp
5672,2,2007-07-14,28,30,34:52,2092,37.00%,,2026-06-27 13:47:52.869134+01
5672,474,2015-11-14,126,91,34:36,2076,37.57%,,2026-06-27 13:47:52.869134+01
5672,674,2016-01-23,123,330,30:42,1842,42.35%,,2026-06-27 13:47:52.869134+01
5672,674,2016-02-20,127,293,32:05,1925,40.52%,,2026-06-27 13:47:52.869134+01
5672,674,2016-02-27,128,289,32:10,1930,40.41%,,2026-06-27 13:47:52.869134+01
5672,674,2016-03-12,130,247,30:39,1839,42.41%,PB,2026-06-27 13:47:52.869134+01
5672,674,2016-03-19,131,251,30:18,1818,42.90%,PB,2026-06-27 13:47:52.869134+01
5672,674,2016-03-26,132,176,29:55,1795,43.45%,PB,2026-06-27 13:47:52.869134+01
5672,674,2016-04-23,136,283,29:27,1767,44.14%,PB,2026-06-27 13:47:52.869134+01
5672,674,2016-04-30,137,246,27:58,1678,46.48%,PB,2026-06-27 13:47:52.869134+01
5672,674,2016-05-21,140,287,28:57,1737,44.91%,,2026-06-27 13:47:52.869134+01
5672,1395,2016-06-04,19,254,29:02,1742,44.78%,,2026-06-27 13:47:52.869134+01
5672,674,2016-06-25,145,240,28:49,1729,45.11%,,2026-06-27 13:47:52.869134+01
5672,674,2016-07-09,147,222,29:12,1752,44.52%,,2026-06-27 13:47:52.869134+01
5672,674,2016-07-16,148,201,29:03,1743,44.75%,,2026-06-27 13:47:52.869134+01
5672,674,2016-10-15,161,362,34:12,2052,38.16%,,2026-06-27 13:47:52.869134+01
5672,674,2016-12-31,172,191,36:01,2161,36.23%,,2026-06-27 13:47:52.869134+01
5672,674,2017-01-07,174,429,34:02,2042,38.34%,,2026-06-27 13:47:52.869134+01
5672,674,2017-01-21,176,410,33:30,2010,38.96%,,2026-06-27 13:47:52.869134+01
5672,674,2017-01-28,177,395,32:44,1964,39.87%,,2026-06-27 13:47:52.869134+01
5672,674,2017-02-18,180,383,32:18,1938,40.40%,,2026-06-27 13:47:52.869134+01
5672,620,2017-02-25,179,138,34:36,2076,37.72%,,2026-06-27 13:47:52.869134+01
5672,56,2017-03-18,326,61,35:00,2100,37.29%,,2026-06-27 13:47:52.869134+01
5672,674,2017-03-25,185,355,31:54,1914,40.91%,,2026-06-27 13:47:52.869134+01
5672,2,2017-04-01,541,416,33:20,2000,39.15%,PB,2026-06-27 13:47:52.869134+01
5672,620,2017-04-08,185,141,33:20,2000,39.15%,PB,2026-06-27 13:47:52.869134+01
5672,191,2017-04-15,282,372,34:00,2040,38.38%,,2026-06-27 13:47:52.869134+01
5672,56,2017-04-22,331,112,38:40,2320,33.75%,,2026-06-27 13:47:52.869134+01
5672,674,2017-04-29,189,344,32:50,1970,39.75%,,2026-06-27 13:47:52.869134+01
5672,674,2017-05-06,190,423,32:26,1946,40.24%,,2026-06-27 13:47:52.869134+01
5672,474,2017-07-01,211,117,35:34,2134,36.69%,,2026-06-27 13:47:52.869134+01
5672,674,2017-08-19,205,396,34:26,2066,37.90%,,2026-06-27 13:47:52.869134+01
5672,674,2017-08-26,206,356,35:08,2108,37.14%,,2026-06-27 13:47:52.869134+01
5672,1,2017-09-02,696,1145,34:03,2043,38.33%,,2026-06-27 13:47:52.869134+01
5672,390,2017-09-23,283,129,32:36,1956,40.24%,,2026-06-27 13:47:52.869134+01
5672,75,2017-10-14,398,199,33:46,2026,38.85%,,2026-06-27 13:47:52.869134+01
5672,343,2017-10-21,299,273,32:25,1945,40.46%,,2026-06-27 13:47:52.869134+01
5672,4,2017-10-28,530,389,33:35,2015,39.06%,,2026-06-27 13:47:52.869134+01
5672,302,2017-11-11,335,58,40:21,2421,32.51%,,2026-06-27 13:47:52.869134+01
5672,674,2017-11-25,217,426,34:16,2056,38.28%,,2026-06-27 13:47:52.869134+01
5672,472,2017-12-02,234,66,32:49,1969,39.97%,,2026-06-27 13:47:52.869134+01
5672,674,2017-12-23,221,236,32:35,1955,40.26%,,2026-06-27 13:47:52.869134+01
5672,674,2017-12-25,222,181,30:53,1853,42.47%,,2026-06-27 13:47:52.869134+01
5672,52,2017-12-30,319,295,32:30,1950,40.36%,,2026-06-27 13:47:52.869134+01
5672,878,2018-01-06,168,31,32:13,1933,40.71%,,2026-06-27 13:47:52.869134+01
5672,25,2018-01-20,312,354,32:25,1945,40.46%,,2026-06-27 13:47:52.869134+01
5672,1,2018-01-27,719,1012,32:18,1938,40.61%,PB,2026-06-27 13:47:52.869134+01
5672,620,2018-02-17,229,135,35:11,2111,37.28%,,2026-06-27 13:47:52.869134+01
5672,300,2018-02-24,317,253,36:03,2163,36.38%,,2026-06-27 13:47:52.869134+01
5672,674,2018-03-10,233,417,35:39,2139,36.79%,,2026-06-27 13:47:52.869134+01
5672,344,2018-03-31,317,216,32:30,1950,40.36%,,2026-06-27 13:47:52.869134+01
5672,190,2018-04-07,401,139,35:30,2130,36.95%,,2026-06-27 13:47:52.869134+01
5672,682,2018-04-21,202,268,36:33,2193,35.89%,,2026-06-27 13:47:52.869134+01
5672,882,2018-04-28,209,265,33:52,2032,38.73%,,2026-06-27 13:47:52.869134+01
5672,551,2018-05-05,264,102,39:54,2394,32.87%,,2026-06-27 13:47:52.869134+01
5672,620,2018-06-16,246,227,36:45,2205,35.69%,,2026-06-27 13:47:52.869134+01
5672,655,2018-07-21,251,333,36:09,2169,36.28%,,2026-06-27 13:47:52.869134+01
5672,440,2018-07-28,291,112,34:40,2080,37.84%,,2026-06-27 13:47:52.869134+01
5672,674,2018-08-11,254,385,33:51,2031,38.75%,,2026-06-27 13:47:52.869134+01
5672,527,2018-08-18,49,85,38:04,2284,34.46%,,2026-06-27 13:47:52.869134+01
5672,674,2018-09-01,257,457,34:27,2067,38.07%,,2026-06-27 13:47:52.869134+01
5672,1312,2018-09-08,153,240,36:17,2177,36.15%,,2026-06-27 13:47:52.869134+01
5672,1868,2018-09-15,22,84,34:54,2094,37.77%,,2026-06-27 13:47:52.869134+01
5672,76,2018-09-29,389,338,36:27,2187,36.17%,,2026-06-27 13:47:52.869134+01
5672,126,2018-10-06,365,336,34:14,2054,38.51%,,2026-06-27 13:47:52.869134+01
5672,1139,2018-10-13,196,39,33:46,2026,39.04%,,2026-06-27 13:47:52.869134+01
5672,389,2018-10-20,335,176,35:49,2149,36.81%,,2026-06-27 13:47:52.869134+01
5672,468,2018-10-27,259,307,34:28,2068,38.25%,,2026-06-27 13:47:52.869134+01
5672,24,2018-11-10,441,413,34:49,2089,37.87%,,2026-06-27 13:47:52.869134+01
5672,403,2018-11-17,322,145,36:30,2190,36.12%,,2026-06-27 13:47:52.869134+01
5672,254,2018-11-24,395,106,33:05,1985,39.85%,,2026-06-27 13:47:52.869134+01
5672,154,2018-12-01,415,160,35:39,2139,36.98%,,2026-06-27 13:47:52.869134+01
5672,133,2018-12-08,378,440,36:29,2189,36.14%,,2026-06-27 13:47:52.869134+01
5672,1945,2018-12-15,32,108,34:03,2043,38.72%,,2026-06-27 13:47:52.869134+01
5672,72,2018-12-22,397,253,35:47,2147,36.84%,,2026-06-27 13:47:52.869134+01
5672,674,2018-12-25,273,254,32:57,1977,40.01%,,2026-06-27 13:47:52.869134+01
5672,674,2018-12-29,274,293,33:04,1984,39.87%,,2026-06-27 13:47:52.869134+01
5672,184,2019-01-01,389,370,35:07,2107,37.54%,,2026-06-27 13:47:52.869134+01
5672,406,2019-01-05,341,62,32:50,1970,40.15%,,2026-06-27 13:47:52.869134+01
5672,391,2019-01-12,339,385,35:16,2116,37.38%,,2026-06-27 13:47:52.869134+01
5672,309,2019-01-19,82,78,37:13,2233,35.42%,,2026-06-27 13:47:52.869134+01
5672,15,2019-01-26,495,180,37:12,2232,35.44%,,2026-06-27 13:47:52.869134+01
5672,191,2019-02-02,372,374,33:36,2016,39.24%,PB,2026-06-27 13:47:52.869134+01
5672,31,2019-02-09,196,174,33:58,2038,38.81%,,2026-06-27 13:47:52.869134+01
5672,2024,2019-02-23,32,24,34:06,2046,38.66%,,2026-06-27 13:47:52.869134+01
5672,1,2019-03-02,778,1117,32:34,1954,40.48%,,2026-06-27 13:47:52.869134+01
5672,581,2019-03-09,129,125,33:10,1990,39.75%,,2026-06-27 13:47:52.869134+01
5672,442,2019-03-16,310,127,34:25,2065,38.31%,,2026-06-27 13:47:52.869134+01
5672,620,2019-03-23,285,219,31:57,1917,41.26%,PB,2026-06-27 13:47:52.869134+01
5672,620,2019-03-30,286,230,31:32,1892,41.81%,PB,2026-06-27 13:47:52.869134+01
5672,1876,2019-04-06,56,118,32:55,1975,40.05%,,2026-06-27 13:47:52.869134+01
5672,72,2019-04-13,412,340,33:55,2035,38.87%,PB,2026-06-27 13:47:52.869134+01
5672,56,2019-04-20,437,87,34:04,2044,38.70%,PB,2026-06-27 13:47:52.869134+01
5672,2259,2019-04-27,5,63,35:22,2122,37.28%,,2026-06-27 13:47:52.869134+01
5672,29,2019-05-11,381,344,33:53,2033,38.91%,,2026-06-27 13:47:52.869134+01
5672,230,2019-05-18,428,210,34:08,2048,38.62%,,2026-06-27 13:47:52.869134+01
5672,674,2019-05-25,295,439,33:00,1980,39.95%,,2026-06-27 13:47:52.869134+01
5672,2314,2019-06-01,5,96,35:10,2110,37.49%,,2026-06-27 13:47:52.869134+01
5672,51,2019-06-08,468,257,31:53,1913,41.35%,,2026-06-27 13:47:52.869134+01
5672,674,2019-06-15,298,506,33:11,1991,39.73%,,2026-06-27 13:47:52.869134+01
5672,450,2019-06-22,285,185,35:03,2103,37.61%,,2026-06-27 13:47:52.869134+01
5672,674,2019-06-29,300,453,34:46,2086,37.92%,,2026-06-27 13:47:52.869134+01
